Method,Name,Error,Occurrences
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""52e38d99-f55a-40d2-b5ea-7a85ad2bcd89""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""f7afa1bd-21fb-4903-90b0-c4c7c100a83f""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""688cac79-7982-4a45-b38f-d032322b5d52""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""f3813e40-93e2-4f69-8002-782a6b8503df""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""c58438c7-ca8c-4657-9d79-cf8e6ae71d24""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 429 {""detail"":""Rate limit exceeded. Try again in 53s."",""retry_after"":53}')",67
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""d614efb9-6b0d-4fe1-9e77-6e8ec4bedbc8""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""6213c833-d692-462c-844d-c590b3b43406""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""509408d8-dc1f-490d-90e4-32f8c8a3f7b2""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""31b74baf-8ef1-4364-9dc5-57a709d74351""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""ffae7592-980f-42ce-9d24-02879d2b2875""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""184df6cd-599f-4efb-8eff-ff744664514d""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""b67e5421-f623-4c0b-bb9b-348a85b699ef""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""f1475537-9099-454f-a96c-28ed461486a8""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""187f00ab-ce0d-4a8b-ba5c-e3075210cb7f""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""9cfd2222-cc17-400e-80a4-76e8e5de0414""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""42d95ede-ef0b-477a-af72-b0b5100fa0b7""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""44501e29-36ed-4361-a6f4-062a8af8acad""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""6bd7683a-5723-45cb-adf3-e4146654ff0c""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""12484d0b-b64c-4074-b83b-701d3a56268d""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""df761c74-3d5d-402f-89fb-270797282911""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""81445f3e-8e62-4805-9b78-759e1108fca1""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""cdffc8b1-e5b3-414d-93f1-f93b013329cc""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""660b0ac1-f3a9-48f3-9f98-aa25f1b081d4""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""80ad7b54-d476-431b-8b1d-5ae377a0b8ca""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""68429715-14ef-46cd-aaf0-bd09e313702a""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""2fcfeff9-a07c-4b82-b679-99737398dd9d""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""2f2bb2e1-deed-4617-9126-9bf49f74ca07""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""dfa9eb5c-d404-4584-ba8e-127a6c3bf783""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""19ff44a6-f371-4757-904c-852aa96cc5da""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""680becc7-360f-461b-b0b1-d417b70d03c6""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""615c7610-12b6-475e-99b3-496d5e8c2494""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""2f780484-74bf-4e2d-be54-275e26579c58""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""d6d91f6f-b8f2-4204-850d-31fe5452be38""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""ce07a915-1d40-4976-894d-40e1e9080fd2""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""0856fcc9-791e-4b25-a5ab-fc0d3923bca2""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""88aaf0e7-cb1d-4c39-953a-5444fe7eb2a7""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""11ad9527-dd16-4aba-8875-8d268e59cf11""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""7f47cff9-d575-400a-89ae-60813dd4a943""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""d05c465c-87bb-465a-a442-99f4b5ee93cc""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""268c6aec-29d5-45ca-93c6-4e729498b5c0""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""6e1e7c34-f374-4d6a-b2a7-d1e596899740""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""78d73cf9-fc3a-49eb-b54e-0227543d0bb5""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""4608dd79-87b9-4684-a65e-7721ae3427d8""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""bc729e9e-b532-4d7d-8018-0b588cf24c7b""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""f13a4cfc-f389-4011-9c1a-8c1869cc73c5""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""077fc11f-4eed-49ed-ac0b-85265da9c41c""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""4abea4e7-dcd3-431e-ba7e-dffa68ddfd64""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""20fd0239-0e26-4408-ad07-61768a2f6ecc""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""14147954-26bf-48d7-affa-c62186725d2d""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""302b9f71-4666-403a-93b9-ab0f85ba938b""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""e9d5e06b-5e4b-4f10-8019-ba4f32d918fa""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""444065b4-cc2d-44de-99a2-3f7ac1554710""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""83fd1914-04ea-4636-ae48-234e7cbe191f""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""141776fa-336a-4c70-97b6-65fb74f5dba6""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""74b2deef-edb2-41c7-80ed-7015f3326ea3""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""d85102d7-334c-4c16-9d21-47c335db0568""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""334b71ad-b131-41bf-8ffb-01465fa58796""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""852221c5-cbfd-4ccb-9633-7625b4cf4e61""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""02810dd0-8ad4-4cc8-9349-5dd6c2b2461c""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""9b22abea-faa6-486d-9c8b-970358705145""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""5c5248d4-cc45-43ba-aa6c-a5b4cd59a92b""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""bc279f7a-69ac-4b43-87a9-dd1fb2d25adb""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""093d0ce4-b37d-4ea7-a099-651d997b325e""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""8bf3305c-fd95-4c7a-9e0b-d01193851640""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""86d609c9-8034-4aa6-8997-4518be7e71cf""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""7c45e5ee-0aa0-43e7-9e7c-bba762a32020""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""8069eac6-a489-48a3-924a-b6ed78d7c776""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""88cee1ef-9976-4441-a0fe-28d37c14e7cb""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""caf7c8dd-d4be-48b3-abd3-752143f5c5ef""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""b0a0b367-1eaa-433e-aaf3-f79d5612383e""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""7d95f248-5fd2-4bef-ac36-430a452a8f4a""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""c32494d3-2d96-4d11-8097-8311cf753328""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""235131ee-b810-4c4c-932f-77283699fef6""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""9b77fa50-24c8-4ae5-afd4-3638fa6cc275""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""64501703-2ce4-425b-aea7-8baa6744d41a""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""1406b0dd-af21-4a7f-acd5-b089d61f108b""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""6629c979-23d4-4cf3-98c3-5b243e7d7345""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""63eacd84-a108-484a-b466-d495ee9f252d""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""1d479f24-335b-4742-905d-6be9077319e8""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""77cb404c-c911-4ceb-bce2-42453e9b82de""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""575c7db8-2866-45b3-b347-a0ebe8a78978""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""1aa4fc4a-0df1-4b3b-ab8d-64013a342558""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""e5c15d79-8dca-422f-af9c-62347c3c4ae2""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""69738be8-102e-4464-a6ad-7eb55f3fd94f""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""15e2fbec-13d2-4972-ac5b-b266185d9c76""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""81ea4b1f-dce5-4f67-b708-3ea1c7d0a71b""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""b2e9c1d7-9f32-4e68-903e-18f7eac465f6""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""ddbed9a4-4656-4da4-a02b-07bd1b89b4c1""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""7fbb80d1-b6ee-470f-befe-539c00ecf836""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""1a89bc87-fbd7-4a4a-847b-c162a91af542""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""cf0a4e84-ff85-4ff5-b38e-6f928e993982""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""3fa1cc13-9017-4680-81d2-7cf691d04869""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""4045b9f5-576b-43c8-9e45-fcf9071db20f""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""928665f0-1105-4c98-b3cc-06a4f7962ef8""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""a08cc833-7492-4675-9f10-f332d80eda1b""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""827eed44-15b0-483e-8068-980b2a746641""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""93d727ed-770f-4521-b3c0-b1249d4b2f16""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""e0aeea3f-3c8c-4589-820a-312f4e152479""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""1f7cb086-90e6-4c83-99a6-4f73d9af73fe""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""6a103203-b084-4100-ab25-8d2c854d84d1""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""3b6fff96-925c-41cb-9bb4-ef969f49e871""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""e24ce61e-ebae-469d-a217-fc8c9a649e97""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""be97aebd-382a-4fc5-990f-5493eb8157eb""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""128e7f29-79cf-439f-af99-e49f7cb13e19""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""0440949e-4814-4512-9d22-790b7609460c""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""8a59556c-fc0c-4c8f-834c-e3dd3d317497""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""84833c1f-40a4-420b-981f-8927086d4afb""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""415be62f-aa2a-4897-995e-0c8d39f456d0""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""d5ce9316-ebf5-4b2d-9e4b-37e4cffc6c93""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""4c5c9b42-a16c-4f0a-99f4-b3905ab1ce2f""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""ab8d2911-6392-4ffa-b29d-0058a672977b""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""c4fc7950-91ca-45c9-88b7-ddcf2dfcf0a4""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""0796ef2e-bf75-4171-a030-b2535f41b2d4""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""04e708fc-4b86-491d-9951-f6c8349b6d45""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""4b4f60db-5018-4a1b-80e0-28b2e08d0385""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""7f59195c-7518-4ff4-a225-f8a0058eb60f""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""eba0f427-8abe-414a-b61a-1bd58c8d4ce3""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""b1e5598e-1793-489b-9265-a6b8c806785d""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""0679affd-9561-46e0-8351-fbe695a5046f""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""04a5ed81-39b0-490f-8e72-daedc5b2d93f""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""dd838c44-6989-4866-a328-03167238aeed""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""1b5ab333-bc9b-49cb-8f09-da70e15cf6e1""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""88d415be-ef81-4852-9c83-5de8e18f99f6""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""5ca01537-3725-413b-8a55-ac959e24f09e""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""4cc633a0-cf05-4940-80ee-c091b54115a1""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""62c26add-3457-4e0f-ad14-fc45e7bb9801""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""34eaf98c-51fd-47cb-8b0e-6c17c742a1ae""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""84a060e9-618a-4279-8d8d-0b773afeb74b""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""3cb1c232-1f14-4855-872e-3ffc14d92558""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""8ae47ee8-3adc-4d5a-825c-bacc069a16ad""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""dee7571b-e1d2-414b-bdff-03c149fc595e""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""9733b6e3-b877-44ec-b00f-82c0c481c948""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""b64f63ba-036f-4866-953a-7757cabe655f""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""112c6d92-4086-4a0b-8a1e-ead862e60578""}')",1
POST,POST /api/digital-prf (create),"CatchResponseError('create failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""244e4316-7e7f-4f9e-8eba-c38792b4b255""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""6ed77084-9d5c-465e-93d3-57af3a6e9e48""}')",1
POST,POST /api/crew/login,"CatchResponseError('login failed: 500 {""detail"":""An internal error occurred. Our team has been notified."",""crash_id"":""44d8be42-ba40-41e9-b116-a8fc4a3dbe5f""}')",1
